Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,10000,18888,30,129760,130431,131085,15,131301,14.490%,52.82230,57.94,20.73
TOTAL,10000,18888,30,129760,130431,131085,15,131301,14.490%,52.82230,57.94,20.73
