Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,50000,104412,49999,233363,239703,248309,13,251308,68.372%,60.46088,85.36,18.27
TOTAL,50000,104412,49999,233363,239703,248309,13,251308,68.372%,60.46088,85.36,18.27
